Date,price_diff,volume,high_low_gap,vol_diff_by_bm,ma_10,ma_20,ma_30,ma_40,ma_50,ma_60,ma_90,ma_120,ma_180,ma_255,vol_ma_10,vol_ma_20,vol_ma_30,vol_ma_40,vol_ma_50,vol_ma_60,vol_ma_90,vol_ma_120,vol_ma_180,vol_ma_255,vol_diff_10_by_500,vol_diff_20_by_500,vol_diff_30_by_500,vol_diff_40_by_500,vol_diff_50_by_500,vol_diff_60_by_500,vol_diff_90_by_500,vol_diff_120_by_500,vol_diff_180_by_500,vol_diff_255_by_500
2010-01-04,0.004524214260908543,11950800.0,180.0,40.306239460370996,0.002709392245790099,0.001285634326720464,0.0009809253596115397,0.0009313586874281965,0.0016052113027745741,0.0010624507182561546,-5.530680895906828e-05,0.00042562376850138566,0.00039093599706286773,,0.008271158180782705,0.007155193589290147,0.0074696346843154725,0.007822663179509977,0.008754461818278676,0.010301226490458337,0.011739950101250896,0.012230695297099484,0.013373570240986211,,0.5456559281901897,0.6347299869487784,0.6426023921181516,0.6722455434813563,0.7084756993937527,0.7501111368989706,0.8150671631321466,0.8411945285386212,0.9019126694273638,0.9249060274110367
2010-01-05,0.019201263509766697,27925850.0,280.0,68.29505991685008,0.005580989758613608,0.002177687837449582,0.0015659417071134682,0.001696045340487662,0.0019490565946268744,0.0016098199335196886,0.00021744796872529034,0.000384944154967215,0.0005751390702177389,,0.008536203284381792,0.008200732096230363,0.008177624074734368,0.008078533740286194,0.009101397082994253,0.010378965283051895,0.011899708982312822,0.012159259105255902,0.013403177078737142,,0.5929855135587586,0.6585546644285846,0.6500018522391817,0.6819839864468596,0.7141662905205264,0.73477803033332,0.8217180796559287,0.8388525182217111,0.9051305475668088,0.9301697635050927
2011-10-04,,32895000.0,720.0,,,,,,,,,,,,,,,,,,,,,,1.162961338383199,1.0831401364339721,1.0729694401194145,1.2419663441725473,1.1371046150364967,1.0911497237496648,1.0278732184037391,1.0529345627148425,1.0796195102203885,1.0748651424748343
2011-10-05,,32102800.0,660.0,95.45881653285757,,,,,,,,,,,,,,,,,,,,,1.2582290786845305,1.1333650730274285,1.077911938686817,1.2608783423482766,1.1595335289421451,1.1031248913438385,1.0367768304096434,1.0574427334929841,1.0827216935357278,1.0757293015052876
2011-10-06,-0.010621375749852113,29969000.0,740.0,84.99432785025525,,,,,,,,,,,,,,,,,,,,,1.3290110601864544,1.1781905408405715,1.0959181736261059,1.2626152062734097,1.180528180947869,1.1209664592765622,1.0481014610118444,1.065651097127223,1.087470791726244,1.0790750671791518
2011-10-07,-0.02267171052666317,26509200.0,620.0,79.20286824021512,,,,,,,,,,,,,,,,,,,,,1.3900859624096509,1.2150038976731548,1.10065497168123,1.2591812904462296,1.2001000201751277,1.1317133508071087,1.0523975219608417,1.0713741592833332,1.088335202571643,1.07859798011618
2011-10-10,0.012364843094878175,17246250.0,260.0,62.804989075018206,,,,,,,,,,,,,,,,,,,,,1.3688193807263782,1.2170093224546068,1.100872979027792,1.2193213720778842,1.209156914170253,1.1385454156067925,1.0588625010698103,1.0702088048828202,1.091318013130724,1.081089204167432
2011-10-11,-0.008072705659793122,22915500.0,320.0,57.28875,,,,,,,,,,,,,,,,,,,,,1.3673210248091436,1.2053846538910733,1.11131026433771,1.1880721021464795,1.2267551811641104,1.1479759909180431,1.0616859993993586,1.073931014188964,1.0955153061838987,1.0862601370410871
2011-10-12,0.011078024491744998,21528500.0,580.0,60.59245707852519,,,,,,,,,,,,,,,,,,,,,1.395506968056821,1.2158631402798399,1.1319358528586858,1.165183079232037,1.2364974392207746,1.150218576216705,1.0662757498414694,1.0724323250442955,1.0942568751855732,1.0892226324438987
2011-10-13,-0.016436471915208806,16266150.0,360.0,37.688021316033364,,,,,,,,,,,,,,,,,,,,,1.353221185147023,1.1863893250255206,1.1384028056148077,1.1423306394832549,1.2384610752655811,1.153231795941606,1.066694473864422,1.0700050704322617,1.0898032034067566,1.0902553347231183
2011-10-14,-0.011228466137531257,10850500.0,460.0,31.09025787965616,,,,,,,,,,,,,,,,,,,,,1.2642042604187247,1.1593125024343442,1.1361410786908464,1.117552903146129,1.2302637765441404,1.1476077900725998,1.0680172217110444,1.0614059817253554,1.0893710819983087,1.0884626944839535
2011-10-17,-0.011590790407186802,10675550.0,280.0,29.033315202610822,,,,,,,,,,,,,,,,,,,,,1.1846011450363367,1.1253650430381386,1.1305529812441644,1.113444293861011,1.2285907078850498,1.145408269381391,1.0665397574323308,1.055237608150632,1.0887741633851944,1.086523527957483
2011-10-18,0.00629350478472368,13844300.0,440.0,42.795363214837714,,,,,,,,,,,,,,,,,,,,,1.0829270715926878,1.1299109742609863,1.0917205774519763,1.0851003514663398,1.222062573039796,1.139428146919269,1.067533005820986,1.0534600979092978,1.0893072820937588,1.0841921627399356
2011-10-19,-0.005820813338198505,10704100.0,320.0,31.48264705882353,-0.005670596136308692,,,,,,,,,,0.011785662556972776,,,,,,,,,,0.9695085772500884,1.1226455214467372,1.0892871916219897,1.0620894531724785,1.2166766665164586,1.1413431190246734,1.0625753617868552,1.053305299916809,1.0898547986481175,1.0840052645062186
2011-10-20,0.05119577611166459,28436600.0,740.0,81.45688914351189,0.0005111190498429785,,,,,,,,,,0.021284461271593516,,,,,,,,,,0.9605804960242209,1.1523520023967195,1.1145854849140697,1.0714301815500527,1.2136942227418979,1.155056917034027,1.0670818621332825,1.0566833696196574,1.0935615174835591,1.0853328504610582
